taxon_key_gbif_id,superfamily_name,family_name,subfamily_name,genus_name,name,search_species_name,gbif_species_name,confidence,status,match type,source,iNaturalist count
9400895,Nepticuloidea,Nepticulidae,[Nepticulinae],Etainia,sericopeza,Etainia sericopeza,Etainia sericopeza,98,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,19
9355563,Nepticuloidea,Nepticulidae,[Nepticulinae],Etainia,ochrefasciella,Etainia ochrefasciella,Etainia ochrefasciella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,1
9245604,Nepticuloidea,Nepticulidae,[Nepticulinae],Zimmermannia,bosquella,Zimmermannia bosquella,Zimmermannia bosquella,99,ACCEPTED,EXACT,Quebec_Pohl2018,2
9554790,Nepticuloidea,Nepticulidae,[Nepticulinae],Zimmermannia,grandisella,Zimmermannia grandisella,Zimmermannia grandisella,99,ACCEPTED,EXACT,Quebec_Pohl2018,0
1735852,Nepticuloidea,Nepticulidae,[Nepticulinae],Ectoedemia,populella,Ectoedemia populella,Ectoedemia populella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,61
1735857,Nepticuloidea,Nepticulidae,[Nepticulinae],Ectoedemia,canutus,Ectoedemia canutus,Ectoedemia canutus,99,ACCEPTED,EXACT,Quebec_Pohl2018,0
1735850,Nepticuloidea,Nepticulidae,[Nepticulinae],Ectoedemia,argyropeza,Ectoedemia argyropeza,Ectoedemia argyropeza,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,17
9336951,Nepticuloidea,Nepticulidae,[Nepticulinae],Ectoedemia,trinotata,Ectoedemia trinotata,Ectoedemia trinotata,99,ACCEPTED,EXACT,Quebec_Pohl2018,5
9528612,Nepticuloidea,Nepticulidae,[Nepticulinae],Ectoedemia,quadrinotata,Ectoedemia quadrinotata,Ectoedemia quadrinotata,99,ACCEPTED,EXACT,Quebec_Pohl2018,7
9632909,Nepticuloidea,Nepticulidae,[Nepticulinae],Ectoedemia,virgulae,Ectoedemia virgulae,Ectoedemia virgulae,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,0
4527235,Nepticuloidea,Nepticulidae,[Nepticulinae],Ectoedemia,occultella,Ectoedemia occultella,Ectoedemia occultella,99,ACCEPTED,EXACT,Quebec_Pohl2018,2
9528398,Nepticuloidea,Nepticulidae,[Nepticulinae],Ectoedemia,rubifoliella,Ectoedemia rubifoliella,Ectoedemia rubifoliella,99,ACCEPTED,EXACT,Quebec_Pohl2018,8
9621622,Nepticuloidea,Nepticulidae,[Nepticulinae],Ectoedemia,ulmella,Ectoedemia ulmella,Ectoedemia ulmella,99,ACCEPTED,EXACT,Quebec_Pohl2018,6
9350750,Nepticuloidea,Opostegidae,[Oposteginae],Opostegoides,scioterma,Opostegoides scioterma,Opostegoides scioterma,98,ACCEPTED,EXACT,Quebec_Pohl2018,0
9529268,Nepticuloidea,Opostegidae,[Oposteginae],Pseudopostega,albogaleriella,Pseudopostega albogaleriella,Pseudopostega albogaleriella,98,ACCEPTED,EXACT,Quebec_Pohl2018,0
9500891,Nepticuloidea,Opostegidae,[Oposteginae],Pseudopostega,cretea,Pseudopostega cretea,Pseudopostega cretea,98,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,5
9298635,Nepticuloidea,Opostegidae,[Oposteginae],Pseudopostega,quadristrigella,Pseudopostega quadristrigella,Pseudopostega quadristrigella,98,ACCEPTED,EXACT,Quebec_Pohl2018,12
9851691,Adeloidea,Prodoxidae,Lamproniinae,Lampronia,russatella,Lampronia russatella,Lampronia russatella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,1
4522791,Adeloidea,Prodoxidae,Lamproniinae,Lampronia,capitella,Lampronia capitella,Lampronia capitella,99,ACCEPTED,EXACT,Quebec_Pohl2018,5
4522799,Adeloidea,Prodoxidae,Lamproniinae,Lampronia,corticella,Lampronia corticella,Lampronia corticella,99,ACCEPTED,EXACT,Quebec_Pohl2018,5
10099430,Adeloidea,Prodoxidae,Lamproniinae,Lampronia,taylorella,Lampronia taylorella,Lampronia taylorella,99,ACCEPTED,EXACT,Quebec_Pohl2018,0
1860736,Adeloidea,Incurvariidae,[Incurvariinae],Paraclemensia,acerifoliella,Paraclemensia acerifoliella,Paraclemensia acerifoliella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,257
5123582,Adeloidea,Incurvariidae,[Incurvariinae],Phylloporia,bistrigella,Phylloporia bistrigella,Phylloporia bistrigella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,1
10583093,Adeloidea,Heliozelidae,[Heliozelinae],Antispila,cornifoliella,Antispila cornifoliella,Antispila cornifoliella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,3
1861332,Adeloidea,Heliozelidae,[Heliozelinae],Antispila,freemani,Antispila freemani,Antispila freemani,99,ACCEPTED,EXACT,Quebec_Pohl2018,25
1861292,Adeloidea,Heliozelidae,[Heliozelinae],Antispila,isabella,Antispila isabella,Antispila isabella,99,ACCEPTED,EXACT,Quebec_Pohl2018,3
9468244,Adeloidea,Heliozelidae,[Heliozelinae],Antispila,viticordifoliella,Antispila viticordifoliella,Antispila viticordifoliella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,0
4522956,Adeloidea,Heliozelidae,[Heliozelinae],Antispila,ampelopsifoliella,Antispila ampelopsifoliella,Antispila ampelopsifoliella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,0
8927100,Adeloidea,Heliozelidae,[Heliozelinae],Antispila,oinophylla,Antispila oinophylla,Antispila oinophylla,99,ACCEPTED,EXACT,Quebec_Pohl2018,0
1861251,Adeloidea,Heliozelidae,[Heliozelinae],Coptodisca,lucifluella,Coptodisca lucifluella,Coptodisca lucifluella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,10
1861239,Adeloidea,Heliozelidae,[Heliozelinae],Coptodisca,magnella,Coptodisca magnella,Coptodisca magnella,99,ACCEPTED,EXACT,Quebec_Pohl2018,0
1861252,Adeloidea,Heliozelidae,[Heliozelinae],Coptodisca,negligens,Coptodisca negligens,Coptodisca negligens,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,1
1861240,Adeloidea,Heliozelidae,[Heliozelinae],Coptodisca,ostryaefoliella,Coptodisca ostryaefoliella,Coptodisca ostryaefoliella,99,ACCEPTED,EXACT,Quebec_Pohl2018,0
1861242,Adeloidea,Heliozelidae,[Heliozelinae],Coptodisca,splendoriferella,Coptodisca splendoriferella,Coptodisca splendoriferella,99,ACCEPTED,EXACT,Quebec_Pohl2018,21
1861238,Adeloidea,Heliozelidae,[Heliozelinae],Coptodisca,kalmiella,Coptodisca kalmiella,Coptodisca kalmiella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,4
10012179,Adeloidea,Adelidae,Adelinae,Cauchas,dietziella,Cauchas dietziella,Cauchas dietziella,99,ACCEPTED,EXACT,Quebec_Pohl2018,0
7495876,Adeloidea,Adelidae,Adelinae,Nemophora,bellela,Nemophora bellela,Nemophora bellela,99,ACCEPTED,EXACT,Quebec_Pohl2018,8
1860974,Adeloidea,Adelidae,Adelinae,Adela,caeruleella,Adela caeruleella,Adela caeruleella,99,ACCEPTED,EXACT,Quebec_Pohl2018,48
1860989,Adeloidea,Adelidae,Adelinae,Adela,ridingsella,Adela ridingsella,Adela ridingsella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,24
1861014,Adeloidea,Adelidae,Adelinae,Adela,purpurea,Adela purpurea,Adela purpurea,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,14
1939460,Tischerioidea,Tischeriidae,[Tischeriinae],Tischeria,quercitella,Tischeria quercitella,Tischeria quercitella,99,ACCEPTED,EXACT,Quebec_Pohl2018,25
10107773,Tischerioidea,Tischeriidae,[Tischeriinae],Astrotischeria,solidagonifoliella,Astrotischeria solidagonifoliella,Astrotischeria solidagonifoliella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,3
10460482,Tischerioidea,Tischeriidae,[Tischeriinae],Coptotriche,zelleriella,Coptotriche zelleriella,Coptotriche zelleriella,99,ACCEPTED,EXACT,Quebec_Pohl2018,0
10308899,Tischerioidea,Tischeriidae,[Tischeriinae],Coptotriche,citrinipennella,Coptotriche citrinipennella,Coptotriche citrinipennella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,13
10402481,Tischerioidea,Tischeriidae,[Tischeriinae],Coptotriche,malifoliella,Coptotriche malifoliella,Coptotriche malifoliella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,0
10129806,Tischerioidea,Tischeriidae,[Tischeriinae],Coptotriche,aenea,Coptotriche aenea,Coptotriche aenea,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,16
9914408,Tischerioidea,Tischeriidae,[Tischeriinae],Coptotriche,badiiella,Coptotriche badiiella,Coptotriche badiiella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,1
-1,Tischerioidea,Tischeriidae,[Tischeriinae],Coptotriche,castaneaeella,Coptotriche castaneaeella,-1,100,-1,NONE,Quebec_Pohl2018 Vermont_29March2021,-1
-1,Tischerioidea,Tischeriidae,[Tischeriinae],Coptotriche,crataegifoliae,Coptotriche crataegifoliae,-1,100,-1,NONE,Quebec_Pohl2018 Vermont_29March2021,-1
10745938,Tischerioidea,Tischeriidae,[Tischeriinae],Coptotriche,agrimoniella,Coptotriche agrimoniella,Coptotriche agrimoniella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,2
1855846,Tineoidea,Meessiidae,[Meessiinae],Eudarcia,eunitariaeella,Eudarcia eunitariaeella,Eudarcia eunitariaeella,99,ACCEPTED,EXACT,Quebec_Pohl2018,3
4526094,Tineoidea,Psychidae,Naryciinae,Dahlica,triquetrella,Dahlica triquetrella,Dahlica triquetrella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,5
9947122,Tineoidea,Psychidae,Naryciinae,Siederia,walshella,Siederia walshella,Siederia walshella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,3
5880063,Tineoidea,Psychidae,Naryciinae,Kearfottia,albifasciella,Kearfottia albifasciella,Kearfottia albifasciella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,42
1854202,Tineoidea,Psychidae,Psychinae,Psyche,casta,Psyche casta,Psyche casta,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,458
1853312,Tineoidea,Psychidae,Oiketicinae,Thyridopteryx,ephemeraeformis,Thyridopteryx ephemeraeformis,Thyridopteryx ephemeraeformis,99,ACCEPTED,EXACT,Quebec_Pohl2018,1115
-1,Tineoidea,Psychidae,Oiketicinae,Hyaloscotes,coniferella,Hyaloscotes coniferella,-1,100,-1,NONE,Quebec_Pohl2018,-1
4707427,Tineoidea,Psychidae,Oiketicinae,Hyaloscotes,pithopoera,Hyaloscotes pithopoera,Hyaloscotes pithopoera,99,ACCEPTED,EXACT,Quebec_Pohl2018,1
