,Species Key,Taxon Key,GBIF Species Name,Source
1001,1747147,1747147,Argyrotaenia alisellana,Quebec_Pohl2018
1002,1747160,1747160,Argyrotaenia mariana,Quebec_Pohl2018
1003,10236521,10236521,Diedra cockerellana,Quebec_Pohl2018
1004,5102644,5102644,Choristoneura obsoletana,Quebec_Pohl2018
1005,5102635,5102635,Choristoneura fractivittana,Quebec_Pohl2018
1006,5102678,5102678,Choristoneura parallela,Quebec_Pohl2018
1007,5102675,5102675,Choristoneura zapulata,Quebec_Pohl2018
1008,5102671,5102671,Choristoneura rosaceana,Quebec_Pohl2018
1009,5102634,5102634,Choristoneura albaniana,Quebec_Pohl2018
1010,5102651,5102651,Choristoneura conflictana,Quebec_Pohl2018
1011,5102666,5102666,Choristoneura fumiferana,Quebec_Pohl2018
1012,5102668,5102668,Choristoneura pinus,Quebec_Pohl2018
1013,1746898,1746898,Archips packardiana,Quebec_Pohl2018
1014,1746754,1746754,Archips strianus,Quebec_Pohl2018
1015,1746831,1746831,Archips alberta,Quebec_Pohl2018
1016,1746774,1746774,Archips dissitana,Quebec_Pohl2018
1017,1746792,1746792,Archips tsuganus,Quebec_Pohl2018
1018,1746856,1746856,Archips rosana,Quebec_Pohl2018
1019,NA,NA,NA,Quebec_Pohl2018
1020,1746789,1746789,Archips argyrospila,Quebec_Pohl2018
1021,NA,NA,NA,Quebec_Pohl2018
1022,1746834,1746834,Archips nigriplagana,Quebec_Pohl2018
1023,1746948,1746948,Archips myricana,Quebec_Pohl2018
1024,1746835,1746835,Archips semiferanus,Quebec_Pohl2018
1025,1746862,1746862,Archips negundana,Quebec_Pohl2018
1026,1746949,1746949,Archips grisea,Quebec_Pohl2018
1027,1746763,1746763,Archips cerasivorana,Quebec_Pohl2018
1028,1746859,1746859,Archips fervidana,Quebec_Pohl2018
1029,1746880,1746880,Archips infumatana,Quebec_Pohl2018
1030,1746881,1746881,Archips rileyana,Quebec_Pohl2018
1031,1746927,1746927,Archips purpurana,Quebec_Pohl2018
1032,5104157,5104157,Syndemis afflictana,Quebec_Pohl2018
1033,1736380,1736380,Lozotaenia hesperia,Quebec_Pohl2018
1034,1736373,1736373,Lozotaenia costinotana,Quebec_Pohl2018
1035,5104589,5104589,Aphelia alleniana,Quebec_Pohl2018
1036,5104625,5104625,Aphelia koebelei,Quebec_Pohl2018
1037,1737430,1737430,Clepsis listerana,Quebec_Pohl2018
1038,1737491,1737491,Clepsis spectrana,Quebec_Pohl2018
1039,7350238,7350238,Clepsis persicana,Quebec_Pohl2018
1040,1737417,1737417,Clepsis clemensiana,Quebec_Pohl2018
1041,1737401,1737401,Clepsis moeschleriana,Quebec_Pohl2018
1042,1737374,1737374,Clepsis melaleucanus,Quebec_Pohl2018
1043,4530608,4530608,Clepsis peritana,Quebec_Pohl2018
1044,1737448,10268567,Clepsis penetralis,Quebec_Pohl2018
1045,1737403,1737403,Clepsis virescana,Quebec_Pohl2018
1046,1740449,1740449,Adoxophyes negundana,Quebec_Pohl2018
1047,1736315,1736315,Xenotemna pallorana,Quebec_Pohl2018
1048,1736836,1736836,Amorbia humerosana,Quebec_Pohl2018
1049,1739400,1739400,Coelostathma discopunctana,Quebec_Pohl2018
1050,1739672,1739672,Sparganothis flavibasana,Quebec_Pohl2018
1051,1739617,1739617,Sparganothis sulfureana,Quebec_Pohl2018
1052,1739644,1739644,Sparganothis lycopodiana,Quebec_Pohl2018
1053,1739652,1739652,Sparganothis bistriata,Quebec_Pohl2018
