accepted_taxon_key,order,family,genus,search_species,gbif_species,confidence,status,match_type,rank,source
1751676,Lepidoptera,Megalopygidae,Norape,Norape ovina,Norape ovina,99,ACCEPTED,EXACT,SPECIES,panama-bci
-1,NotAvail,NotAvail,NotAvail,Norape pura,NotAvail,100,NotAvail,NONE,NotAvail,panama-bci
-1,NotAvail,NotAvail,NotAvail,Noorda esmeralda,NotAvail,100,NotAvail,NONE,NotAvail,panama-bci
1876487,Lepidoptera,Pyralidae,Nonia,Nonia lambella,Nonia exiguella,99,SYNONYM,EXACT,SPECIES,panama-bci
11767459,Lepidoptera,Nolidae,Nola,Nola sylpha,Nola sylpha,99,ACCEPTED,EXACT,SPECIES,panama-bci
1801982,Lepidoptera,Nolidae,Nola,Nola zeteci,Nola zeteci,99,ACCEPTED,EXACT,SPECIES,panama-bci
1801978,Lepidoptera,Nolidae,Nola,Nola contorta,Nola contorta,99,ACCEPTED,EXACT,SPECIES,panama-bci
1801938,Lepidoptera,Nolidae,Nola,Nola habrophyes,Nola habrophyes,99,ACCEPTED,EXACT,SPECIES,panama-bci
1801920,Lepidoptera,Nolidae,Nola,Nola aeschyntela,Nola aeschyntela,99,ACCEPTED,EXACT,SPECIES,panama-bci
1801916,Lepidoptera,Nolidae,Nola,Nola prothyma,Nola prothyma,99,ACCEPTED,EXACT,SPECIES,panama-bci
1801885,Lepidoptera,Nolidae,Nola,Nola triplaga,Nola triplaga,99,ACCEPTED,EXACT,SPECIES,panama-bci
1801857,Lepidoptera,Nolidae,Nola,Nola brunneifera,Nola brunneifera,99,ACCEPTED,EXACT,SPECIES,panama-bci
1801845,Lepidoptera,Nolidae,Nola,Nola nephelepasa,Nola nephelepasa,99,ACCEPTED,EXACT,SPECIES,panama-bci
1801844,Lepidoptera,Nolidae,Nola,Nola flavescens,Nola flavescens,99,ACCEPTED,EXACT,SPECIES,panama-bci
1801811,Lepidoptera,Nolidae,Nola,Nola quintessa,Nola quintessa,99,ACCEPTED,EXACT,SPECIES,panama-bci
1809440,Lepidoptera,Erebidae,Nodozana,Nodozana thricophora,Nodozana thricophora,99,ACCEPTED,EXACT,SPECIES,panama-bci
1809430,Lepidoptera,Erebidae,Nodozana,Nodozana picturata,Nodozana picturata,99,ACCEPTED,EXACT,SPECIES,panama-bci
