accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
5120746,Lepidoptera,Coleophoridae,Coleophora,Coleophora galbulipennella,Coleophora galbulipennella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1743560,Lepidoptera,Tortricidae,Epiblema,Epiblema cirsiana,Epiblema cirsiana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1876542,Lepidoptera,Pyralidae,Galleria,Galleria mellonella,Galleria mellonella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1848892,Lepidoptera,Gelechiidae,Metzneria,Metzneria neuropterella,Metzneria neuropterella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1957300,Lepidoptera,Geometridae,Thetidia,Thetidia smaragdaria,Thetidia smaragdaria,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1736485,Lepidoptera,Tortricidae,Grapholita,Grapholita lobarzewskii,Grapholita lobarzewskii,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1735839,Lepidoptera,Nepticulidae,Ectoedemia,Ectoedemia atricollis,Ectoedemia atricollis,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
4533442,Lepidoptera,Noctuidae,Diarsia,Diarsia florida,Diarsia florida,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1848273,Lepidoptera,Gelechiidae,Anacampsis,Anacampsis populella,Anacampsis populella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
5145269,Lepidoptera,Geometridae,Scopula,Scopula virgulata,Scopula virgulata,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1787751,Lepidoptera,Noctuidae,Hadena,Hadena albimacula,Hadena albimacula,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1803273,Lepidoptera,Erebidae,Antichloris,Antichloris caca,Antichloris caca,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1851337,Lepidoptera,Gelechiidae,Chrysoesthia,Chrysoesthia sexguttella,Chrysoesthia sexguttella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1740005,Lepidoptera,Tortricidae,Acleris,Acleris hyemana,Acleris hyemana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
10930537,Lepidoptera,Tortricidae,Cochylichroa,Cochylis atricapitana,Cochylichroa atricapitana,99,SYNONYM,EXACT,SPECIES,uksi_09May2022
