sort,Superfam_#,subfam_#,Superfamily,Family,Subfamily,Current_valid_binomen,Author_yr,BCI_BIN,Source_Basset,Source_BOLD,Source_iNat,Source_CanalZone,Source_Literature,Timeframe_Jan2023,Timeframe_Nov2023,Timeframe_Historic
716,77,77,PAPILIONOIDEA,Nymphalidae,Ithomiinae,Melinaea lilis,"(Doubleday, 1847)",BOLD:AAK7291,1,1,,,Basset 2015,,,
717,77,77,PAPILIONOIDEA,Nymphalidae,Ithomiinae,Melinaea menophilus,"(Hewitson, 1856)",,1,,,,Basset 2015,,,
718,77,77,PAPILIONOIDEA,Nymphalidae,Ithomiinae,Hyalyris excelsa,"(C. & R. Felder, 1862)",,1,,,,Basset 2015,,,
719,77,77,PAPILIONOIDEA,Nymphalidae,Ithomiinae,Hypothyris euclea,"(Godart, 1819)",BOLD:AAB6973,1,1,,,Basset 2015,,,
720,77,77,PAPILIONOIDEA,Nymphalidae,Ithomiinae,Hypothyris lycaste,"(Fabricius, 1793)",BOLD:ACF4663,1,1,,,Basset 2015,,,
722,77,77,PAPILIONOIDEA,Nymphalidae,Ithomiinae,Napeogenes peridia,"(Hewitson, 1854)",BOLD:AAF7184,1,1,,,Basset 2015,,,
723,77,77,PAPILIONOIDEA,Nymphalidae,Ithomiinae,Aeria eurimedia,"(Cramer, 1777)",BOLD:AAE0394,1,1,,,Basset 2015,,,
724,77,77,PAPILIONOIDEA,Nymphalidae,Ithomiinae,Tithorea harmonia,"(Cramer, 1777)",BOLD:ABY6118,1,1,,,Basset 2015,,,
725,77,77,PAPILIONOIDEA,Nymphalidae,Limenitidinae,Adelpha barnesia,"Schaus, 1902",BOLD:AAC9035,1,1,,,Basset 2015,,,
726,77,77,PAPILIONOIDEA,Nymphalidae,Limenitidinae,Adelpha basiloides,"(Bates, 1865)",,1,,,,Basset 2015,,,
727,77,77,PAPILIONOIDEA,Nymphalidae,Limenitidinae,Adelpha cocala,"(Cramer, 1779)",BOLD:AAB7483,1,1,,,Basset 2015,,,
728,77,77,PAPILIONOIDEA,Nymphalidae,Limenitidinae,Adelpha cytherea,"(Linnaeus, 1758)",BOLD:AAC5389,1,1,,,Basset 2015,,,
729,77,77,PAPILIONOIDEA,Nymphalidae,Limenitidinae,Adelpha erotia,"(Hewitson, 1847)",BOLD:AAA5411,1,1,,,Basset 2015,,,
730,77,77,PAPILIONOIDEA,Nymphalidae,Limenitidinae,Adelpha heraclea,"(C. & R. Felder, 1867)",,1,,,,Basset 2015,,,
731,77,77,PAPILIONOIDEA,Nymphalidae,Limenitidinae,Adelpha iphicleola,"(Bates, 1864)",BOLD:AAA9100,1,1,,,Basset 2015,,,
732,77,77,PAPILIONOIDEA,Nymphalidae,Limenitidinae,Adelpha iphiclus,"(Linnaeus, 1758)",BOLD:ACE3211,1,1,,,Basset 2015,,,
733,77,77,PAPILIONOIDEA,Nymphalidae,Limenitidinae,Adelpha naxia,"(C. & R. Felder, 1867)",BOLD:AAC9037,1,1,,,Basset 2015,,,
734,77,77,PAPILIONOIDEA,Nymphalidae,Limenitidinae,Adelpha phylaca,"(Bates, 1866)",,1,,,,Basset 2015,,,
736,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Caligo atreus,"(Kollar, 1850)",BOLD:AAA8731,1,1,,,Basset 2015,,,
737,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Caligo brasiliensis,"(C. Felder, 1862)",BOLD:ABY5985,1,1,,,Basset 2015,,,
738,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Caligo eurilochus,"(Cramer, 1775)",,1,,,,Basset 2015,,,
739,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Caligo idomeneus,"(Linnaeus, 1758)",BOLD:ABV3684,1,1,,,Basset 2015,,,
740,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Caligo illioneus,"(Cramer, 1775)",BOLD:AAB9114,1,1,,,Basset 2015,,,
741,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Caligo oileus,"C. & R. Felder, 1861",,1,,,,Basset 2015,,,
742,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Caligo telamonius,"(C. & R. Felder, 1862)",,1,,,,Basset 2015,,,
743,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Catoblepia orgetorix,"(Hewitson, 1870)",BOLD:AAB9860,1,1,,,Basset 2015,,,
744,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Catoblepia xanthicles,"(Godman & Salvin, 1881)",,1,,,,Basset 2015,,,
745,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Dynastor darius,"(Fabricius, 1775)",BOLD:AAC0005,1,1,,,Basset 2015,,,
746,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Eryphanis automedon,"(Cramer, 1775)",BOLD:AAJ1127,1,1,,,Basset 2015,,,
747,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Opsiphanes bogotanus,"Distant, 1875",BOLD:ACF4268,1,1,,,Basset 2015,,,
748,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Opsiphanes cassiae,"(Linnaeus, 1758)",,1,,,,Basset 2015,,,
749,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Opsiphanes cassina,"C. & R. Felder, 1862",BOLD:AAA1580,1,1,,,Basset 2015,,,
750,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Opsiphanes invirae,"(Hübner, 1808)",BOLD:ABY9428,1,1,,,Basset 2015,,,
751,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Opsiphanes quiteria,"(Stoll, 1780)",BOLD:AAA1581,1,1,,,Basset 2015,,,
752,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Opsiphanes tamarindi,"C. & R. Felder, 1861",BOLD:AAA6258,1,1,,,Basset 2015,,,
753,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Selenophanes josephus,"(Godman & Salvin, 1881)",BOLD:ABV4068,1,1,,,Basset 2015,,,
754,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Antirrhea philoctetes,"(Linnaeus, 1758)",,1,,,,Basset 2015,,,
755,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Caerois gerdrudtus,"(Fabricius, 1793)",BOLD:AAI6832,1,1,,,Basset 2015,,,
756,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Morpho achilles,"(Linnaeus, 1758)",,1,,,,Basset 2015,,,
757,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Morpho helenor,"(Cramer, 1776)",BOLD:ACE6362,1,1,,,Basset 2015,,,
758,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Morpho menelaus,"(Linnaeus, 1758)",BOLD:ACE6745,1,1,,,Basset 2015,,,
759,77,77,PAPILIONOIDEA,Nymphalidae,Morphinae,Morpho theseus,"Deyrolle, 1860",BOLD:AAC9372,1,1,,,Basset 2015,,,
760,77,77,PAPILIONOIDEA,Nymphalidae,Nymphalinae,Colobura dirce,"(Linnaeus, 1758)",BOLD:AAB1815,1,1,,,Basset 2015,,,
761,77,77,PAPILIONOIDEA,Nymphalidae,Nymphalinae,Historis acheronta,"(Fabricius, 1775)",BOLD:AAB7925,1,1,,,Basset 2015,,,
762,77,77,PAPILIONOIDEA,Nymphalidae,Nymphalinae,Historis odius,"(Fabricius, 1775)",BOLD:AAC1741,1,1,,,Basset 2015,,,
763,77,77,PAPILIONOIDEA,Nymphalidae,Nymphalinae,Tigridia acesta,"(Linnaeus, 1758)",BOLD:AAA9590,1,1,,,Basset 2015,,,
764,77,77,PAPILIONOIDEA,Nymphalidae,Nymphalinae,Anartia amathea,"(Linnaeus, 1758)",BOLD:AAM2929,1,1,,,Basset 2015,,,
765,77,77,PAPILIONOIDEA,Nymphalidae,Nymphalinae,Anartia fatima,"(Fabricius, 1793)",BOLD:AAA6917,1,1,,,Basset 2015,,,
766,77,77,PAPILIONOIDEA,Nymphalidae,Nymphalinae,Anartia jatrophae,"(Linnaeus, 1763)",BOLD:AAC3778,1,1,,,Basset 2015,,,
767,77,77,PAPILIONOIDEA,Nymphalidae,Nymphalinae,Junonia evarete,"(Cramer, 1779)",BOLD:AAA5788,1,1,,,Basset 2015,,,
768,77,77,PAPILIONOIDEA,Nymphalidae,Nymphalinae,Junonia genoveva,"(Cramer, 1780)",BOLD:AAA5787,1,1,,,Basset 2015,,,
769,77,77,PAPILIONOIDEA,Nymphalidae,Nymphalinae,Siproeta stelenes,"(Linnaeus, 1758)",BOLD:AAB9470,1,1,,,Basset 2015,,,
770,77,77,PAPILIONOIDEA,Nymphalidae,Nymphalinae,Anthanassa drusilla,"(C. & R. Felder, 1861)",BOLD:AAN1901,1,1,,,Basset 2015,,,
771,77,77,PAPILIONOIDEA,Nymphalidae,Nymphalinae,Anthanassa frisia,"(Poey, 1832)",BOLD:AAA8565,1,1,,,Basset 2015,,,
772,77,77,PAPILIONOIDEA,Nymphalidae,Nymphalinae,Anthanassa ptolyca,"(Bates, 1864)",,1,,,,Basset 2015,,,
773,77,77,PAPILIONOIDEA,Nymphalidae,Nymphalinae,Castilia ofella,"(Hewitson, 1864)",BOLD:AAA8571,1,1,,,Basset 2015,,,
774,77,77,PAPILIONOIDEA,Nymphalidae,Nymphalinae,Chlosyne lacinia,"(Geyer, 1837)",BOLD:AAB0381,1,1,,,Basset 2015,,,
775,77,77,PAPILIONOIDEA,Nymphalidae,Nymphalinae,Eresia clio,"(Linnaeus, 1758)",BOLD:AAM8701,1,1,,,Basset 2015,,,
776,77,77,PAPILIONOIDEA,Nymphalidae,Nymphalinae,Eresia eunice,"(Hübner, 1807)",BOLD:AAJ1033,1,1,,,Basset 2015,,,
777,77,77,PAPILIONOIDEA,Nymphalidae,Nymphalinae,Janatella leucodesma,"(C. & R. Felder, 1861)",BOLD:AAE5798,1,1,,,Basset 2015,,,
778,77,77,PAPILIONOIDEA,Papilionidae,Papilioninae,Mimoides ilus,"(Fabricius, 1793)",BOLD:ACG1651,1,1,,,Basset 2015,,,
779,77,77,PAPILIONOIDEA,Papilionidae,Papilioninae,Protesilaus glaucolaus,"(Bates, 1864)",,1,,,,Basset 2015,,,
780,77,77,PAPILIONOIDEA,Papilionidae,Papilioninae,Protesilaus protesilaus,"(Linnaeus, 1758)",BOLD:AAB7887,1,1,,,Basset 2015,,,
781,77,77,PAPILIONOIDEA,Papilionidae,Papilioninae,Protographium philolaus,"(Boisduval, 1836)",BOLD:AAB7790,1,1,,,Basset 2015,,,
782,77,77,PAPILIONOIDEA,Papilionidae,Papilioninae,Heraclides anchisiades,"(Esper, 1788)",BOLD:AAB6499,1,1,,,Basset 2015,,1,
783,77,77,PAPILIONOIDEA,Papilionidae,Papilioninae,Heraclides thoas,"(Linnaeus, 1771)",BOLD:AAE3863,1,1,,,Basset 2015,,,
784,77,77,PAPILIONOIDEA,Papilionidae,Papilioninae,Battus belus,"(Cramer, 1777)",BOLD:AAB2113,1,1,,,Basset 2015,,,
785,77,77,PAPILIONOIDEA,Papilionidae,Papilioninae,Battus ingenuus,"(Dyar, 1907)",BOLD:AAB2112,1,1,,,Basset 2015,,,
786,77,77,PAPILIONOIDEA,Papilionidae,Papilioninae,Battus lycidas,"(Cramer, 1777)",,1,,,,Basset 2015,,,
787,77,77,PAPILIONOIDEA,Papilionidae,Papilioninae,Battus polydamas,"(Linnaeus, 1758)",BOLD:AAB6663,1,1,,,Basset 2015,,,
788,77,77,PAPILIONOIDEA,Papilionidae,Papilioninae,Parides childrenae,"(Gray, 1832)",BOLD:AAB7708,1,1,,,Basset 2015,,,
789,77,77,PAPILIONOIDEA,Papilionidae,Papilioninae,Parides erithalion,"(Boisduval, 1836)",,1,,,,Basset 2015,,,
790,77,77,PAPILIONOIDEA,Papilionidae,Papilioninae,Parides erithalion sadyattes,"(Druce, 1874)",BOLD:AAD5582,1,1,,,Basset 2015,,,
791,77,77,PAPILIONOIDEA,Papilionidae,Papilioninae,Parides erithalion smalli,"Brown, 1994",BOLD:ACE8056,1,1,,,Basset 2015,,,
792,77,77,PAPILIONOIDEA,Papilionidae,Papilioninae,Parides eurimedes,"(Stoll, 1782)",BOLD:AAA7012,1,1,,,Basset 2015,,,
793,77,77,PAPILIONOIDEA,Papilionidae,Papilioninae,Parides iphidamas,"(Fabricius, 1793)",BOLD:AAA6238,1,1,,,Basset 2015,,,
794,77,77,PAPILIONOIDEA,Papilionidae,Papilioninae,Parides panares,"(Gray, 1853)",,1,,,,Basset 2015,,,
795,77,77,PAPILIONOIDEA,Papilionidae,Papilioninae,Parides sesostris,"(Cramer, 1779)",BOLD:AAA7207,1,1,,,Basset 2015,,,
796,77,77,PAPILIONOIDEA,Pieridae,Pierinae,Ascia monuste,"(Linnaeus, 1764)",BOLD:AAB6892,1,1,,,Basset 2015,,,
797,77,77,PAPILIONOIDEA,Pieridae,Pierinae,Ganyra josephina,"(Godart, 1819)",BOLD:AAB6060,1,1,,,Basset 2015,,,
798,77,77,PAPILIONOIDEA,Pieridae,Pierinae,Glutophrissa drusilla,"(Cramer, 1777)",BOLD:AAB8730,1,1,,,Basset 2015,,,
799,77,77,PAPILIONOIDEA,Pieridae,Pierinae,Itaballia demophile,"(Linnaeus, 1763)",BOLD:AAD1176,1,1,,,Basset 2015,,,
800,77,77,PAPILIONOIDEA,Pieridae,Pierinae,Itaballia pandosia,"(Hewitson, 1853)",BOLD:AAE2310,1,1,,,Basset 2015,,,
802,77,77,PAPILIONOIDEA,Pieridae,Pierinae,Perrhybris pamela,"(Stoll, 1780)",BOLD:AAG9288,1,1,,,Basset 2015,,,
803,77,77,PAPILIONOIDEA,Lycaenidae,Polyommatinae,Hemiargus hanno,"(Stoll, 1790)",,1,,,,Basset 2015,,,
804,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Aguna coeloides,"Austin & Mielke, 1998",BOLD:ABY6394,1,1,,,Basset 2015,,,
805,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Aguna panama,"Austin & Mielke, 1998",BOLD:AAC1957,1,1,,,Basset 2015,,,
806,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Astraptes alardus,"(Stoll, 1790)",BOLD:AAB0203,1,1,,,Basset 2015,,,
807,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Astraptes alector,"(C. & R. Felder, 1867)",BOLD:ACE4291,1,1,,,Basset 2015,,,
808,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Astraptes anaphus,"(Cramer, 1777)",BOLD:AAD2055,1,1,,,Basset 2015,,,
809,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Astraptes apastus,"(Cramer, 1777)",BOLD:AAJ3215,1,1,,,Basset 2015,,,
810,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Astraptes audax,"Brower, 2010",BOLD:AAA5249,1,1,,,Basset 2015,,,
811,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Astraptes creteus,"(Cramer, 1780)",,1,,,,Basset 2015,,,
812,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Astraptes egregius,"(Butler, 1870)",BOLD:AAD2094,1,1,,,Basset 2015,,,
813,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Astraptes enotrus,"(Stoll, 1781)",BOLD:AAA3281,1,1,,,Basset 2015,,,
814,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Astraptes favilla,"Brower, 2010",BOLD:AAA4249,1,1,,,Basset 2015,,,
815,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Astraptes fulgerator,"(Walch, 1775)",,1,,,,Basset 2015,,,
816,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Astraptes inflatio,"Brower, 2010",BOLD:AAA1584,1,1,,,Basset 2015,,,
817,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Astraptes janeira,"(Schaus, 1902)",,1,,,,Basset 2015,,,
820,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Astraptes talus,"(Cramer, 1777)",BOLD:AAB0182,1,1,,,Basset 2015,,,
821,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Augiades crinisus,"(Cramer, 1780)",BOLD:AAM4336,1,1,,,Basset 2015,,,
822,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Autochton neis,"(Geyer, 1832)",,1,,,,Basset 2015,,,
823,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Autochton zarex,"(Hübner, 1818)",BOLD:ACF8470,1,1,,,Basset 2015,,,
824,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Bungalotis astylos,"(Cramer, 1780)",BOLD:AAB3330,1,1,,,Basset 2015,,,
825,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Bungalotis diophorus,"(Möschler, 1883)",BOLD:AAB3970,1,1,,,Basset 2015,,,
826,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Bungalotis midas,"(Cramer, 1775)",BOLD:AAC5652,1,1,,,Basset 2015,,,
827,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Bungalotis quadratum,"(Sepp, 1845)",,1,,,,Basset 2015,,,
828,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Calliades zeutus,"(Möschler, 1879)",BOLD:AAB7681,1,1,,,Basset 2015,,,
829,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Celaenorrhinus eligius,"(Stoll, 1781)",BOLD:AAA8250,1,1,,,Basset 2015,,,
830,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Cephise guatemalaensis,"(Freeman, 1977)",BOLD:AAB8187,1,1,,,Basset 2015,,,
831,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Cephise nuspesez,"Burns, 1996",BOLD:AAA6918,1,1,,,Basset 2015,,,
832,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Chrysoplectrum perniciosus,"(Herrich-Schäffer, 1869)",BOLD:ABW4636,1,1,,,Basset 2015,,,
833,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Drephalys alcmon,"(Cramer, 1779)",BOLD:AAC3376,1,1,,,Basset 2015,,,
834,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Drephalys dumeril,"(Latreille, 1824)",BOLD:ACG1278,1,1,,,Basset 2015,,,
835,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Dyscophellus nicephorus,"(Hewitson, 1876)",BOLD:AAX6467,1,1,,,Basset 2015,,,
836,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Dyscophellus phraxanor,"(Hewitson, 1876)",BOLD:ACE3647,1,1,,,Basset 2015,,,
837,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Dyscophellus ramusis,"(Stoll, 1781)",BOLD:AAA6387,1,1,,,Basset 2015,,,
839,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Entheus matho,"Godman & Salvin, 1879",BOLD:ABZ6232,1,1,,,Basset 2015,,,
840,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Epargyreus exadeus,"(Cramer, 1779)",,1,,,,Basset 2015,,,
841,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Hyalothyrus neleus,"(Linnaeus, 1758)",BOLD:AAB5177,1,1,,,Basset 2015,,,
843,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Narcosius colossus,"(Herrich-Schäffer, 1869)",BOLD:AAB0815,1,1,,,Basset 2015,,,
844,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Nascus paulliniae,"(Sepp, 1842)",BOLD:AAB6932,1,1,,,Basset 2015,,,
845,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Nascus phocus,"(Cramer, 1777)",BOLD:AAB1299,1,1,,,Basset 2015,,,
846,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Nascus solon,"(Plötz, 1882)",BOLD:AAB0985,1,1,,,Basset 2015,,,
847,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Phanus albiapicalis,"Austin, 1993",BOLD:AAE6233,1,1,,,Basset 2015,,,
848,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Phanus ecitonorum,"Austin, 1993",BOLD:AAA6297,1,1,,,Basset 2015,,,
849,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Phanus marshalli,"(Kirby, 1880)",BOLD:ABX5497,1,1,,,Basset 2015,,,
850,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Phanus obscurior,"Kaye, 1925",BOLD:AAA8975,1,1,,,Basset 2015,,,
852,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Phanus vitreus,"(Stoll, 1781)",,1,,,,Basset 2015,,,
853,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Polygonus savigny,"(Latreille, 1824)",BOLD:ACE9588,1,1,,,Basset 2015,,,
854,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Polythrix auginus,"(Hewitson, 1867)",BOLD:AAA8882,1,1,,,Basset 2015,,,
855,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Polythrix caunus,"(Herrich-Schäffer, 1869)",BOLD:AAA8881,1,1,,,Basset 2015,,,
856,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Polythrix ceculus,"(Herrich-Schäffer, 1869)",,1,,,,Basset 2015,,,
858,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Salatis canalis,"(Skinner, 1920)",BOLD:AAB4417,1,1,,,Basset 2015,,,
859,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Udranomia orcinus,"(C. & R. Felder, 1867)",BOLD:AAA9266,1,1,,,Basset 2015,,,
860,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Urbanus belli,"(Hayward, 1935)",BOLD:AAA2276,1,1,,,Basset 2015,,,
861,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Urbanus dorantes,"(Stoll, 1790)",BOLD:AAA9148,1,1,,,Basset 2015,,,
862,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Urbanus doryssus,"(Swainson, 1831)",BOLD:AAB3037,1,1,,,Basset 2015,,,
863,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Urbanus esma,"Evans, 1952",,1,,,,Basset 2015,,,
864,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Urbanus esmeraldus,"(Butler, 1877)",BOLD:AAA2693,1,1,,,Basset 2015,,,
865,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Urbanus proteus,"(Linnaeus, 1758)",BOLD:AAA1263,1,1,,,Basset 2015,,,
866,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Urbanus simplicius,"(Stoll, 1790)",BOLD:AAB8414,1,1,,,Basset 2015,,,
868,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Urbanus teleus,"(Hübner, 1821)",BOLD:AAB8486,1,1,,,Basset 2015,,,
869,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Urbanus velinus,"(Plötz, 1880)",,1,,,,Basset 2015,,,
870,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Venada lamella,"Burns, 2013",BOLD:AAD4031,1,1,,,Basset 2015,,,
871,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Achlyodes busirus,"(Cramer, 1779)",BOLD:AAA8500,1,1,,,Basset 2015,,,
872,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Achlyodes mithridates,"(Fabricius, 1793)",,1,,,,Basset 2015,,,
873,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Aethilla echina,"Hewitson, 1870",BOLD:ACF0058,1,1,,,Basset 2015,,,
874,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Anastrus neaeris,"(Möschler, 1879)",BOLD:AAB3473,1,1,,,Basset 2015,,,
875,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Antigonus erosus,"(Hübner, 1812)",BOLD:AAA8281,1,1,,,Basset 2015,,,
876,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Antigonus nearchus,"(Latreille, 1817)",BOLD:AAD2654,1,1,,,Basset 2015,,,
877,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Bolla oiclus,"(Mabille, 1889)",,1,,,,Basset 2015,,,
878,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Cogia calchas,"(Herrich-Schäffer, 1869)",,1,,,,Basset 2015,,,
879,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Cycloglypha thrasibulus,"(Fabricius, 1793)",BOLD:AAA8311,1,1,,,Basset 2015,,,
880,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Cyclosemia herennius,"(Stoll, 1782)",,1,,,,Basset 2015,,,
882,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Ebrietas anacreon,"(Staudinger, 1876)",BOLD:AAB1461,1,1,,,Basset 2015,,,
883,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Eracon paulinus,"(Stoll, 1782)",BOLD:ABV4779,1,1,,,Basset 2015,,,
884,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Eracon sarahburnsae ,"Grishin, 2014",BOLD:AAB3028,1,1,,,Basset 2015,,,
885,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Gorgythion begga,"(Prittwitz, 1868)",BOLD:AAA2444,1,1,,,Basset 2015,,,
886,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Heliopetes alana,"(Reakirt, 1868)",BOLD:AAC5188,1,1,,,Basset 2015,,,
887,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Mictris crispus,"(Herrich-Schäffer, 1870)",BOLD:AAB4049,1,1,,,Basset 2015,,,
888,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Milanion hemes,"(Cramer, 1777)",BOLD:ACG0095,1,1,,,Basset 2015,,,
889,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Milanion marciana,"Godman & Salvin, 1895",BOLD:AAC7860,1,1,,,Basset 2015,,,
890,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Nisoniades panama,"Evans, 1953",,1,,,,Basset 2015,,,
891,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Paches loxus,"(Westwood, 1852)",BOLD:AAB6458,1,1,,,Basset 2015,,,
892,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Pachyneuria licisca,"(Plötz, 1882)",BOLD:AAB5176,1,1,,,Basset 2015,,,
893,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Pyrgus oileus,"(Linnaeus, 1767)",,1,,,,Basset 2015,,,
894,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Pyrgus orcus,"(Stoll, 1780)",BOLD:AAG4994,1,1,,,Basset 2015,,,
895,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Pythonides grandis,"Mabille, 1878",BOLD:AAN7268,1,1,,,Basset 2015,,,
896,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Pythonides herennius,"Geyer, 1838",,1,,,,Basset 2015,,,
897,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Pythonides jovianus,"(Stoll, 1782)",BOLD:AAB2241,1,1,,,Basset 2015,,,
898,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Pythonides proxenus,"(Godman & Salvin, 1895)",BOLD:AAB6173,1,1,,,Basset 2015,,,
899,77,77,PAPILIONOIDEA,Hesperiidae,Pyrginae,Pythonides pteras,"(Godman & Salvin, 1895)",BOLD:AAD5803,1,1,,,Basset 2015,,,
