speciesKey,species,genus,family
1975617,Isochromodes sordida,Isochromodes,Geometridae
1986948,Cataspilates pseudaluma,Cataspilates,Geometridae
5103273,Eucosma coniogramma,Eucosma,Tortricidae
1989709,Eois toporata,Eois,Geometridae
9207372,Spinipogon resthavenensis,Spinipogon,Tortricidae
8368476,Anopinella rica,Anopinella,Tortricidae
1842192,Sorhagenia baucidis,Sorhagenia,Cosmopterigidae
1963958,Phyllodonta anca,Phyllodonta,Geometridae
1976708,Oxydia subdensata,Oxydia,Geometridae
1841240,Doina trachycantha,Doina,Depressariidae
8313631,Ptychocroca nigropenicillia,Ptychocroca,Tortricidae
1848497,Filatima aulaea,Filatima,Gelechiidae
9010804,Chionodes sanator,Chionodes,Gelechiidae
5149318,Cymatophora insularis,Cymatophora,Geometridae
8673204,Glyphidocera clavae,Glyphidocera,Autostichidae
5119014,Heterocampa amanda,Heterocampa,Notodontidae
5118710,Hemiceras celia,Hemiceras,Notodontidae
1872174,Passelgis xanthothricalis,Passelgis,Pyralidae
1972920,Spargania subignea,Spargania,Geometridae
9105625,Agaraea minuta,Arctagyrta,Erebidae
1990853,Erateina appendicularia,Erateina,Geometridae
1989117,Cidariophanes brigitta,Cidariophanes,Geometridae
1808706,Delphyre cumulosa,Delphyre,Erebidae
1826360,Malocampa bronacha,Malocampa,Notodontidae
7393539,Anopinella larana,Anopinella,Tortricidae
1980313,Chavarriella distinguenda,Chavarriella,Geometridae
9145131,Glyphidocera zothecuale,Glyphidocera,Autostichidae
1822277,Rhuda labella,Rhuda,Notodontidae
9141343,Tisis sandaradema,Tisis,Lecithoceridae
1961214,Aplogompha opulenta,Aplogompha,Geometridae
1850567,Helcystogramma melissia,Helcystogramma,Gelechiidae
1840036,Psorosticha melanocrepida,Psorosticha,Depressariidae
11532305,Argentulia montana,Argentulia,Tortricidae
1842723,Stagmatophora spintheropa,Stagmatophora,Cosmopterigidae
11878598,Tachyphyle pretiosa,Tachyphyle,Geometridae
1852961,Batrachedra theca,Batrachedra,Batrachedridae
5148731,Pero tridenta,Pero,Geometridae
9210814,Elachista calusella,Elachista,Elachistidae
1987102,Astyochia vidra,Astyochia,Geometridae
5126724,Argyria argyrodis,Argyria,Crambidae
